䫨	龶頁 aw
䮯	馬攵 nh
䯠	骨皿 fa
䴈	丿鳥 tx
䵅	龶夂 ah
嗸	龶口 ad
墽	土攵 gh
媼	女皿 ba
嫯	龶女 ab
岰	山力 vs
嶴	丿山 tv
摮	龶手 au
擙	扌大 um
柪	木力 es
梎	木匕 ev
眑	目力 qs
磝	石攵 mh
翶	白羽 uz
蔜	艹攵 lh
謸	言攵 sh
郩	㐅阝 bt
镺	镸大 pm
驁	龶馬 an
鷔	龶鳥 ax
𡊛	土厶 gk
𡏼	土攵 gh
𡒃	丿土 tg
𢁱	巾大 rm
𢕟	彳攵 wh
𢧴	士戈 gp
𢲷	扌乂 ub
𢳆	扌攵 uh
𣊁	士日 go
𣷫	氵攵 kh
𤇯	衣火 tc
𤏶	火 cv
𤺾	疒大 am
𥂢	龶皿 aa
𥑑	石力 ms
𥜌	礻大 fm
𦪈	士舟 gi
𦽀	⺿頁 lw
𧅃	⺿灬 lc
𧨲	言 ss
𨱧	镸力 ps
𩈏	面力 bs
𩑍	頁乚 wa
𩑤	𠂉頁 ew
𩕀	龶頁 aw
𩘮	士虫 gc
𩟇	大 qm
𩣻	⺿馬 ln
𩥊	高馬 gn
𩮯	镸攵 ph
𩱏	士鬲 gn
𩼈	魚大 wm
𪁾	⺿鳥 lx
𪃨	山鳥 vx
伯	亻白 ju
抜	扌又 ur
覇	覀月 vv
峇	山口 vd
罷	罒匕 yv
犮	𠂇丶 ni
丷	丷 hb
鈀	金巴 zm
哱	口子 dh
茇	艹丶 li
軷	車丶 yi
癹	癶殳 hr
仈	亻八 jh
弝	弓巴 bm
豝	豕巴 jm
鲌	鱼白 wu
壩	土月 gv
颰	⺇丶 oi
炦	火丶 ci
皅	白巴 um
垻	土貝 go
柭	木丶 ei
釟	金八 zh
㔜	爫力 ys
㖠	口示 df
㞎	尸巴 cm
㧊	扌巾 ur
㶚	氵月 kv
䃻	石月 mv
䆉	禾匕 xv
䇑	立十 in
䎬	耒厶 ak
䎱	耒匕 av
䟦	⻊又 pr
䥯	金匕 zv
䩗	革月 tv
䩻	革馬 tn
䰾	魚巴 wm
䱝	魚十 wn
䳁	鳥丶 xi
䳊	𠂇鳥 nx
叐	丿又 tr
哵	口刂 dp
夿	大巴 mm
欛	木月 ev
玐	王八 nh
矲	矢匕 ov
詙	言丶 si
跁	⻊巴 pm
魞	魚入 wj
鮁	魚丶 wi
鮊	魚白 wu
鼥	鼠丶 pi
𠐌	亻匕 jv
𠛋	巴刂 mp
𠵺	口巴 dm
𡚭	女八 bh
𢃳	巴 bm
𢇷	广丶 xi
𢠭	忄又 hr
𢺞	扌月 uv
𢻷	巴攴 mh
𣬶	毛巴 vm
𣬷	巴毛 mv
𤜕	士目 gq
𤜱	犭巴 mm
𤣸	王 nb
𤤒	王丶 ni
𥎱	矢丶 oi
𥐙	石 mh
𥝧	禾巴 xm
𥥛	丶 ei
𦓧	耒八 ah
𦫙	白巴 um
𦳺	⺿辶 lu
𧎱	巴虫 mc
𧲧	豸巴 mm
𧺡	走巾 pr
𧺺	走丶 pi
𧿏	⻊ pz
𨊹	車巴 ym
𩃴	月 tv
𩊤	革丶 ti
𩖣	文虫 vc
𩖽	⺇皮 or
𩚥	巴 qm
𩡩	馬 nh
𩨜	巴 fm
𩹏	魚犬 wm
𩽷	魚月 wv
呗	口贝 do
唄	口貝 do
擺	扌匕 uv
敗	貝攵 oh
擘	尸手 cu
拝	扌丰 ua
栢	木白 eu
粨	米白 pu
粺	米十 pn
韛	韋 gt
猈	犭十 mn
襬	衤匕 tv
㓦	一刂 fp
㗑	口丰 da
㗗	口十 dn
㠔	山辛 vn
㧳	扌手 uu
㼟	白瓦 ur
㼣	一瓦 fr
㿟	白白 uu
䒔	艹八 lh
䙓	衤厶 tk
䢙	貝辶 ou
䳆	白鳥 ux
䴽	木十 en
庍	广斤 xt
挀	扌 ut
瓸	瓦白 ma
竡	立白 iu
絔	糹白 iu
薭	艹十 ln
贁	貝攵 oh
𠟻	貝刂 op
𠫛	厶厶 kk
𠮠	口刀 dp
𡏯	土攵 gh
𡭢	小木 ye
𢈕	广 xt
𢛞	忄十 hn
𣧙	歹手 gu
𤁣	氵匕 kv
𤙅	牜巾 qr
𤽹	白十 un
𥬝	⺮白 ru
